Course	Credits
Statistical methods for data analysis	7
Statistical Data Analysis	6
Predictive Analytics	6
Data preparation and preprocessing	7
Machine Learning	9
Reinforced learning	5
Data Mining	5
Graph data analytics	6
Performance analysis	7
Operations research and optimisation	6
Modelling and simulation theory and techniques general and domain oriented	5
Generalised linear models	6
Large scale modelling and simulation systems	5
