Course related to DS-BoK Knowledge Areas	Tier-1	Tier-2	Elective	Prerequisite
Big Data infrastructure and technologies	4	3	4	NA 
Infrastructure and platforms for Data Science	8	5	4	NA 
Cloud Computing technologies for BD and DA	6	5	5	NA 
Data and Applications security 	2	2	2	NA 
Big Data systems organization and engineering	9	5	5	NA 
Data Science/Big Data application design	9	5	5	NA 
Information Systems	4	6	5	NA 
