0,1,2,3,4
29,3,15,3,4
23,6,17,0,5
15,0,16,1,3
14,1,17,2,2
22,7,16,2,2
19,2,24,1,4
8,0,6,0,0
22,2,5,1,2
10,2,4,0,1
18,2,18,0,1
21,0,24,1,4
20,7,9,2,5
30,0,19,2,2
12,1,17,1,1
33,7,19,1,5
24,4,29,0,1
24,3,38,2,5
17,2,13,0,4
18,1,20,4,3
13,0,8,2,5
10,1,9,0,1
21,2,20,3,3
29,9,45,4,0
24,8,15,1,7
32,3,27,1,3
15,1,6,1,1
14,0,3,5,1
25,6,13,0,3
16,1,16,0,1
34,0,19,4,3
22,2,5,0,2
27,4,21,3,5
14,0,11,1,2
24,1,18,1,1
18,1,18,2,5
33,0,18,2,2
47,3,35,0,9
22,3,24,0,5
14,0,8,4,4
15,1,17,0,4
19,7,22,6,2
22,7,12,5,9
17,0,11,0,2
15,2,10,1,1
17,3,17,2,3
30,2,33,2,6
17,4,16,1,1
19,2,15,0,5
33,3,23,3,7
21,6,15,0,3
21,3,6,1,2
13,0,3,3,0
23,2,6,3,2
28,7,16,6,4
23,0,26,0,3
14,0,8,4,4
12,0,3,3,0
27,0,27,4,1
26,2,5,0,6
29,0,10,1,1
35,9,28,2,7
16,0,15,0,1
14,0,7,1,1
13,1,10,0,2
14,1,8,1,2
19,1,6,0,1
29,1,17,1,3
36,6,29,2,10
20,5,27,3,4
13,2,10,1,1
14,0,8,4,4
18,0,12,0,3
13,2,20,7,5
27,12,16,4,7
20,1,13,2,3
11,0,5,0,1
21,1,21,5,4
22,2,5,2,1
25,4,18,2,3
21,3,31,6,7
39,5,29,6,3
28,7,12,3,1
26,3,27,3,7
11,1,4,1,1
13,0,8,1,1
26,1,21,5,1
29,7,12,1,5
25,1,29,2,2
20,1,19,1,2
29,3,17,3,2
23,1,31,0,5
16,1,6,0,2
13,0,9,0,1
20,4,17,3,9
23,1,25,3,5
21,1,15,0,2
24,7,13,4,5
23,1,8,2,1
32,2,23,4,2
28,6,12,1,5
8,0,6,0,0
15,1,16,2,5
19,3,5,2,2
23,1,16,3,6
14,0,8,4,4
29,0,21,2,2
9,1,17,1,1
21,4,20,2,3
22,1,17,1,8
17,3,8,0,2
27,6,10,3,3
14,1,10,0,2
35,9,40,2,4
30,1,26,1,3
19,5,10,1,4
18,3,9,0,1
20,1,10,4,5
29,6,13,2,0
21,4,12,1,4
20,1,12,0,4
21,1,20,0,2
31,0,24,0,5
14,6,12,4,4
21,2,21,0,5
25,2,29,1,3
13,2,15,0,1
25,1,29,1,4
23,3,5,0,3
60,3,24,6,8
21,0,9,2,1
16,3,15,3,4
26,6,11,1,4
14,2,13,1,1
16,0,7,0,2
11,2,13,0,1
36,2,20,0,6
30,3,11,5,1
14,0,15,1,5
15,8,10,5,11
25,3,17,2,5
11,0,9,1,2
8,0,6,0,0
33,7,26,7,5
10,2,6,2,2
27,3,17,1,3
29,2,39,2,2
19,1,7,1,3
25,17,19,5,6
13,0,10,0,1
12,7,13,2,2
20,5,7,0,0
16,1,21,0,3
14,1,11,0,2
20,1,20,5,5
19,0,24,3,4
19,2,8,4,1
27,5,18,3,3
21,1,6,0,3
14,1,13,0,2
22,7,18,7,10
17,3,21,3,3
36,8,40,2,2
24,1,15,1,2
13,0,8,0,2
25,17,20,5,9
17,1,9,1,1
16,9,14,3,4
30,3,35,5,1
11,1,9,0,0
20,1,19,1,2
13,0,17,1,1
21,4,21,1,2
25,1,18,4,3
22,9,11,4,7
11,0,11,0,1
35,1,42,7,6
15,1,6,2,5
13,1,4,5,0
29,4,24,2,3
22,3,5,0,3
14,4,24,2,2
19,5,10,1,4
18,1,16,1,4
8,2,12,0,2
20,1,19,1,2
21,0,28,4,3
21,1,15,0,1
28,0,17,4,4
23,6,13,3,3
16,1,10,2,2
23,10,13,2,6
27,4,30,3,7
29,1,34,1,4
20,0,10,1,2
23,2,20,3,3
12,0,17,0,7
27,2,19,3,5
19,5,27,5,3
17,11,12,1,1
12,0,3,3,0
31,3,15,3,2
14,0,3,3,0
21,6,21,4,3
17,2,12,0,5
37,7,31,6,4
14,2,4,3,2
18,0,13,0,1
11,0,5,0,1
19,1,21,1,1
16,1,22,0,3
21,1,12,0,4
30,0,19,2,2
23,1,16,3,6
11,0,16,1,1
20,1,19,1,2
12,0,9,1,3
40,7,16,5,3
14,0,8,4,4
24,5,21,2,3
11,0,11,0,1
36,6,29,2,10
24,4,23,3,1
33,3,14,3,1
24,2,4,0,2
20,1,19,1,2
22,7,14,5,7
23,2,25,1,3
14,0,8,4,4
14,0,8,4,4
11,0,11,0,0
19,6,11,1,1
22,2,15,1,2
17,0,12,1,0
39,6,22,7,5
17,3,11,0,7
18,3,14,0,4
17,2,11,0,1
33,3,16,4,4
11,0,5,0,1
31,7,23,8,4
23,2,3,3,2
11,2,6,0,1
24,2,5,0,8
14,0,8,4,4
32,1,30,5,6
9,0,15,1,1
15,3,20,3,6
11,0,5,0,1
13,1,14,0,1
13,2,11,2,2
