0,1,2,3,4
12,3,17,6,16
16,5,21,0,9
8,1,14,2,10
6,0,18,4,8
13,5,21,1,9
12,1,27,1,9
4,0,6,0,4
7,2,8,2,13
4,1,6,0,6
9,1,19,0,10
12,1,27,1,9
9,9,12,2,11
11,3,22,3,14
6,1,14,2,9
19,7,25,0,14
12,2,35,1,8
16,0,39,7,10
10,2,17,1,6
10,1,21,3,11
8,1,9,4,6
4,0,9,0,8
10,0,25,3,11
15,7,55,3,7
14,4,21,5,11
11,2,36,5,12
4,0,8,2,10
6,1,6,5,5
13,3,18,4,9
8,1,16,0,9
14,1,26,9,10
8,3,7,0,13
12,1,29,5,13
3,0,12,1,12
13,0,17,2,13
9,1,22,1,11
9,3,25,3,15
19,2,48,1,24
7,3,32,0,12
4,1,7,6,12
9,2,17,1,8
10,0,23,13,10
11,4,16,9,15
6,0,13,0,11
8,1,10,2,8
8,0,22,1,11
16,1,39,4,13
9,1,18,1,10
8,2,17,1,13
13,3,27,3,23
8,6,22,1,8
8,2,6,2,15
4,0,8,2,5
8,3,10,3,12
13,5,23,11,9
10,1,29,1,11
4,1,7,6,12
6,0,7,1,4
13,1,33,4,8
8,7,7,0,17
11,0,13,3,14
21,9,32,4,15
7,0,19,0,6
5,0,8,1,9
4,0,11,0,11
7,1,10,0,8
4,2,12,0,9
11,4,20,2,14
9,2,49,3,20
12,1,30,1,15
4,1,11,1,10
4,1,7,6,12
9,1,15,0,8
6,0,19,4,18
18,6,21,7,14
12,3,11,3,10
5,0,5,0,7
8,0,26,5,13
8,2,8,1,13
12,2,21,6,11
10,2,36,5,15
21,3,36,5,17
15,6,9,10,11
13,5,30,6,12
4,1,4,0,9
5,0,7,1,10
11,2,23,7,11
13,4,21,5,11
7,3,37,2,10
6,3,21,2,11
12,3,17,6,16
8,0,41,1,10
5,0,10,1,9
6,1,9,0,7
12,4,21,2,14
7,1,34,3,12
8,1,20,0,10
14,4,19,5,11
11,1,11,1,11
19,3,24,2,15
14,3,19,5,11
4,0,6,0,4
8,2,18,2,9
6,2,8,2,13
12,3,19,2,13
4,1,7,6,12
14,1,23,1,15
5,2,15,1,6
10,3,21,6,10
6,2,22,1,18
7,0,14,0,9
15,6,12,4,12
5,0,15,1,6
15,3,50,3,19
11,1,32,6,11
6,3,18,3,9
14,0,9,0,8
14,2,12,3,9
17,4,18,0,11
6,5,19,0,12
7,1,12,4,13
9,1,23,3,8
14,2,34,1,9
7,4,13,6,10
8,1,26,1,13
15,3,30,0,12
10,2,11,0,8
14,2,28,2,14
8,2,7,0,17
24,5,39,14,19
9,1,12,1,10
10,1,16,4,10
14,5,17,4,8
9,0,14,1,7
5,0,11,0,9
5,0,12,0,10
19,3,26,3,13
12,3,20,7,8
9,0,15,1,10
8,3,10,7,21
13,1,24,0,14
4,0,9,1,9
4,0,6,0,4
14,5,36,12,11
2,1,7,3,9
11,4,20,2,14
7,3,48,2,14
7,2,9,2,11
14,8,31,6,13
7,0,11,0,6
10,7,11,2,6
5,3,10,4,10
6,1,24,1,9
5,1,12,0,10
14,3,19,5,10
12,1,27,1,9
10,1,7,5,11
13,9,23,2,9
6,1,7,0,17
7,2,13,1,7
13,9,23,6,13
9,2,26,2,8
15,4,47,3,19
12,0,20,2,9
3,1,10,0,9
16,8,29,7,16
7,0,11,2,9
8,4,19,5,10
16,2,31,6,19
5,0,9,0,7
6,3,21,2,11
6,0,14,2,10
7,2,30,1,9
11,3,22,2,13
11,4,19,6,13
6,0,12,0,5
10,2,53,7,19
7,1,6,1,14
8,0,6,3,6
13,5,26,7,11
8,2,9,0,14
8,1,30,2,5
6,3,18,3,9
8,1,20,2,9
3,1,12,0,8
6,3,21,2,11
13,2,27,2,12
8,2,19,0,9
14,3,23,3,10
13,3,18,4,10
5,1,16,4,5
8,4,23,4,15
14,4,35,6,12
16,2,34,3,14
9,1,13,3,7
12,0,26,4,9
6,1,18,1,10
15,0,28,2,11
8,1,29,7,14
8,4,18,1,11
6,0,7,1,4
12,3,17,6,16
6,0,5,2,7
10,6,24,2,13
8,3,17,1,7
14,4,47,6,14
7,1,10,1,6
8,0,11,0,13
6,0,5,0,6
11,2,20,2,8
6,1,25,1,9
9,1,16,1,11
11,3,22,3,14
12,3,19,2,13
5,1,16,0,7
6,3,21,2,11
4,0,13,1,7
19,2,22,10,18
4,1,7,6,12
12,2,27,1,13
5,0,14,0,4
9,2,49,3,20
20,0,25,1,9
23,3,21,0,7
7,1,9,0,15
7,3,20,2,11
11,4,17,9,14
9,1,27,6,11
4,1,7,6,12
4,1,7,6,12
4,1,10,0,7
7,7,16,2,6
11,1,20,2,8
9,0,11,1,9
13,3,29,18,16
6,5,15,1,11
8,0,22,1,8
6,1,14,0,10
9,3,21,9,18
4,0,5,0,8
10,2,31,14,16
7,1,8,4,13
3,1,6,1,9
8,7,7,0,17
4,1,7,6,12
13,2,38,5,16
3,0,14,1,8
8,3,20,4,12
4,0,5,0,8
7,1,13,0,8
8,4,9,2,7
