0,1,2,3,4
28,4,15,3,4
35,4,11,1,0
18,2,12,0,3
20,1,10,2,3
22,8,18,1,0
29,1,17,2,1
8,1,5,0,0
20,2,7,2,1
11,0,5,0,1
26,4,8,0,1
31,1,17,0,1
19,10,10,3,1
29,4,17,0,3
18,2,11,0,1
40,8,15,2,0
34,4,18,1,1
35,2,30,5,0
24,0,11,1,0
21,5,15,4,1
14,3,7,3,1
9,2,9,0,1
25,1,19,2,2
43,10,32,1,2
26,8,14,6,1
26,4,31,4,1
12,3,5,2,2
10,0,7,5,1
24,5,12,5,1
18,1,11,2,2
28,3,25,3,1
22,1,7,0,1
30,1,23,2,4
14,2,11,0,1
24,2,14,3,2
17,0,26,0,1
31,4,17,0,3
46,4,39,3,2
30,4,18,0,2
13,3,12,0,2
16,2,16,1,2
17,4,23,10,2
20,8,15,9,3
15,1,13,0,1
16,1,11,0,1
33,2,5,0,2
40,2,27,3,1
19,1,15,2,2
27,6,7,1,0
45,6,12,6,0
22,8,12,2,1
22,1,9,0,1
8,1,7,3,0
20,2,10,3,1
25,13,15,8,0
28,2,21,0,1
13,3,12,0,2
9,0,6,3,0
33,2,21,2,1
21,6,9,0,3
20,0,19,1,1
51,6,20,1,3
16,1,14,1,0
14,2,6,0,1
12,2,11,0,1
17,2,6,0,1
16,1,9,0,1
29,5,15,0,2
39,5,34,3,2
29,2,21,4,3
12,5,9,0,1
13,3,12,0,2
19,1,10,0,3
17,1,15,11,3
34,8,15,8,1
18,2,13,3,3
11,0,5,0,1
22,2,23,3,2
20,2,8,1,1
23,6,20,2,1
29,4,26,7,2
53,3,19,5,2
26,10,10,3,2
38,4,20,2,2
11,4,2,0,1
14,2,6,0,1
22,3,25,3,1
23,7,15,6,3
28,3,25,2,1
21,3,13,2,4
30,2,15,3,4
25,4,28,0,3
15,2,7,0,1
15,1,7,0,0
32,4,11,3,3
25,2,24,3,3
21,1,16,0,1
25,7,12,6,3
19,1,12,1,2
33,1,23,5,1
22,8,13,6,3
8,1,5,0,0
19,2,15,0,3
19,2,8,1,1
27,2,16,1,3
13,3,12,0,2
28,2,22,1,1
15,0,9,2,3
21,7,19,2,1
13,2,27,0,7
18,1,9,1,1
24,9,10,3,3
20,1,5,0,1
51,9,26,4,0
34,4,21,2,0
16,7,14,1,1
22,1,7,0,1
24,1,9,4,2
39,0,10,0,1
15,9,16,1,1
18,2,15,1,1
22,2,18,1,1
36,2,19,0,3
14,6,12,3,5
22,1,22,1,3
46,1,11,1,1
21,1,6,2,1
41,2,11,2,4
24,1,8,0,1
45,6,35,11,4
21,1,9,0,2
15,2,17,6,1
24,8,11,3,2
16,0,12,2,1
16,1,7,0,1
20,1,4,0,2
30,3,26,1,4
24,5,11,8,2
16,1,16,1,1
20,3,7,11,8
34,4,8,1,5
16,1,5,0,1
7,2,5,0,0
29,9,26,10,4
11,3,7,0,1
29,5,15,0,2
46,0,25,2,1
14,0,13,3,1
28,12,22,9,1
16,0,7,0,1
15,9,9,3,0
17,3,11,1,0
23,2,14,0,2
17,2,7,0,2
29,1,17,3,1
29,3,17,0,1
22,0,8,3,1
34,4,15,2,1
19,2,8,1,1
15,2,11,0,2
22,10,20,6,6
30,4,11,1,1
47,10,27,4,0
22,1,18,0,2
15,1,6,0,1
29,10,23,9,5
17,1,10,0,1
22,8,10,5,1
41,4,22,5,2
17,0,4,0,0
21,3,13,2,4
20,1,10,0,1
26,4,18,0,1
28,2,16,3,2
23,8,12,5,5
17,0,5,0,1
39,2,41,7,2
16,0,7,4,2
11,1,6,4,1
29,6,23,2,2
21,1,10,0,1
29,1,14,2,0
16,7,14,1,1
21,1,16,1,1
17,2,3,0,2
21,3,13,2,4
37,1,9,5,4
21,0,16,0,1
27,3,18,1,4
25,5,12,5,1
16,1,13,1,0
25,8,18,2,1
40,5,22,2,2
41,3,17,3,5
22,1,8,1,1
26,1,20,2,2
18,0,13,0,5
34,0,19,2,2
24,3,24,5,3
20,8,12,1,1
9,0,6,3,0
28,4,15,3,4
11,1,5,3,0
22,8,22,3,0
19,5,10,0,2
39,5,37,0,4
14,0,7,3,1
20,3,8,0,1
11,0,5,0,1
25,1,15,0,2
23,2,15,0,2
21,3,14,0,0
29,4,17,0,3
25,2,16,3,3
12,0,15,1,1
21,3,13,2,4
11,2,12,0,0
40,4,15,9,3
13,3,12,0,2
36,2,16,1,0
14,0,8,1,0
39,5,34,3,2
39,2,13,1,0
50,0,4,0,0
20,2,9,0,1
20,3,14,2,4
21,9,12,9,4
23,4,25,0,2
13,3,12,0,2
13,3,12,0,2
18,0,4,0,0
19,8,6,4,1
20,1,19,1,1
20,1,9,0,0
31,3,25,14,6
16,2,16,3,1
22,2,15,0,0
15,2,13,0,1
26,3,22,6,3
13,1,2,0,1
28,2,29,10,4
14,2,9,6,2
11,3,5,0,1
19,6,9,2,3
13,3,12,0,2
35,3,33,3,0
15,0,9,2,0
20,1,15,3,8
13,1,2,0,1
17,0,10,0,2
18,1,9,2,0
