0,1,2,3,4
5,3,35,5,4
3,1,42,4,1
4,5,21,0,5
2,1,29,0,4
3,0,35,7,4
2,3,39,2,2
1,1,10,1,1
1,2,22,3,4
0,2,13,0,2
0,1,32,0,6
2,3,39,2,2
2,2,30,6,3
2,3,38,4,4
1,0,21,1,9
1,2,53,6,1
3,1,49,1,4
2,1,66,0,3
2,1,29,1,3
5,6,27,2,6
2,1,17,3,5
0,0,14,0,7
4,4,34,2,5
3,1,75,4,2
1,4,39,7,4
5,7,46,4,4
1,0,14,1,8
2,2,14,3,2
1,2,32,9,3
4,6,20,0,4
5,7,39,4,5
1,2,21,3,4
4,5,45,2,4
0,0,21,0,7
2,2,37,1,2
4,6,31,1,2
2,2,40,5,4
7,7,69,3,8
2,1,41,0,9
0,0,20,1,9
4,1,27,2,3
2,1,41,8,4
1,1,35,10,6
0,0,21,2,7
1,0,22,1,5
3,0,33,0,5
3,2,60,5,3
4,4,26,1,4
2,1,29,0,9
3,2,54,3,6
2,1,35,5,2
1,2,22,4,4
1,2,13,2,1
1,2,26,3,4
4,5,35,11,6
4,5,39,0,4
0,0,20,1,9
1,2,13,1,1
5,4,42,3,5
1,3,24,5,4
1,2,33,0,5
1,1,67,1,8
4,5,21,1,1
1,0,14,0,8
1,0,17,0,8
1,0,17,0,8
0,0,19,0,8
3,3,36,3,4
1,0,74,2,6
4,7,39,3,6
1,0,19,0,7
0,0,20,1,9
4,6,20,1,2
3,6,28,6,4
3,1,45,14,3
2,1,26,4,6
2,0,11,0,4
5,5,36,0,6
1,2,22,3,4
5,6,36,3,2
4,5,51,4,4
1,2,60,8,5
2,0,35,11,3
4,3,49,5,5
1,0,10,0,7
1,0,14,0,8
4,7,35,5,3
1,1,39,9,4
0,0,49,3,7
4,6,26,1,6
5,3,35,5,4
4,5,46,0,4
0,0,17,1,7
4,6,9,1,3
1,1,40,3,8
4,4,41,2,6
5,6,23,0,5
1,2,34,12,4
2,2,24,3,4
4,5,45,7,2
1,2,35,8,4
1,1,10,1,1
5,5,24,0,5
1,2,21,3,4
2,3,34,3,5
0,0,20,1,9
4,5,39,4,2
3,5,15,1,5
5,5,31,3,6
0,0,34,0,15
4,5,18,1,2
3,1,30,10,4
2,0,20,0,5
1,2,75,6,5
1,1,55,0,4
1,0,27,7,4
5,2,21,0,2
2,1,31,4,2
3,0,41,1,5
1,0,30,6,5
0,0,29,2,6
5,6,28,1,4
5,6,42,2,3
1,2,24,8,5
4,6,33,1,5
1,4,46,2,3
5,4,16,0,5
3,7,39,7,4
1,2,23,4,4
5,7,72,9,7
1,0,22,1,9
4,3,27,1,6
3,0,32,8,4
3,2,24,0,2
0,0,17,1,7
6,5,9,0,7
4,5,47,2,6
3,2,33,5,7
2,1,26,1,5
1,2,28,11,7
2,2,39,1,7
1,0,16,0,6
1,1,10,1,1
4,5,53,11,5
0,0,15,1,6
3,3,36,3,4
2,1,66,2,2
1,1,22,1,6
5,1,46,16,4
4,5,13,0,2
1,0,22,10,1
1,4,17,5,4
5,5,29,0,2
0,0,17,2,9
1,0,40,1,5
2,3,39,2,2
1,2,26,1,4
1,1,44,6,3
1,1,23,1,5
2,1,22,2,3
3,3,41,8,7
2,2,37,2,4
1,4,73,6,3
2,0,38,0,2
0,0,16,1,6
5,1,45,16,9
1,0,22,1,5
2,1,28,11,3
1,1,61,5,4
1,3,13,2,2
4,6,26,1,6
1,0,21,1,9
3,0,40,0,5
2,1,41,1,4
1,1,31,11,7
1,3,16,1,2
1,3,77,5,5
1,1,21,2,4
1,3,14,2,3
6,7,42,3,3
1,2,22,4,4
1,1,37,2,3
1,0,25,9,4
4,4,26,0,6
2,3,13,1,5
4,6,26,1,6
3,7,39,3,4
5,7,21,1,4
4,5,38,3,3
1,2,30,12,3
1,1,23,3,3
2,0,37,11,4
4,3,55,5,4
3,7,49,4,6
5,7,16,2,3
4,4,36,2,5
4,5,20,0,7
7,2,35,1,11
4,4,42,3,5
1,1,28,11,1
1,2,13,1,1
5,3,35,5,4
1,3,13,1,2
2,0,42,7,4
2,2,26,0,6
6,5,66,3,5
0,2,19,2,2
1,1,23,2,5
2,1,11,0,3
4,7,26,1,5
5,5,30,0,2
5,5,21,3,4
2,3,38,4,4
2,3,34,3,5
2,2,22,0,3
4,6,26,1,6
3,2,18,0,2
1,4,41,19,6
0,0,20,1,9
1,1,45,6,2
1,2,18,0,2
1,0,74,2,6
3,0,43,1,8
10,0,37,1,6
1,2,22,3,4
4,6,26,1,6
1,1,34,10,7
5,5,37,1,6
0,0,20,1,9
0,0,20,1,9
1,4,13,2,2
1,0,19,16,2
5,5,26,1,5
4,4,19,1,2
4,7,49,14,5
1,1,30,1,5
2,0,35,0,2
0,0,22,1,8
4,5,40,5,6
0,1,10,0,6
4,6,50,8,5
1,0,21,2,9
0,0,12,1,7
1,3,24,5,4
0,0,20,1,9
3,1,61,4,5
3,5,15,1,2
4,5,27,1,10
0,1,10,0,6
4,5,16,0,4
1,1,22,5,1
