0,1,2,3,4
24,3,16,5,6
20,3,28,0,0
13,0,16,1,5
11,0,19,2,4
21,3,17,3,5
15,1,24,4,6
8,0,6,0,0
19,2,7,2,2
9,1,6,0,1
15,2,17,0,5
15,3,24,2,6
14,6,15,2,6
23,2,20,2,6
11,3,16,1,1
25,6,29,2,3
19,1,29,0,9
23,1,36,5,7
14,2,16,2,2
15,1,23,2,5
12,1,10,2,3
9,0,10,0,2
14,2,29,0,4
23,7,48,5,4
23,4,17,6,5
18,3,33,5,7
11,0,10,2,1
11,1,7,4,0
25,3,13,2,4
13,1,18,0,2
23,3,23,6,5
20,1,7,2,1
20,4,27,3,6
11,0,16,0,1
17,1,23,0,4
16,0,22,1,5
23,2,22,1,7
34,4,48,2,6
15,3,29,0,7
12,2,5,5,6
12,1,20,0,4
17,5,21,8,5
19,4,14,10,8
13,1,14,1,1
13,1,11,3,1
17,3,16,3,3
30,3,32,5,3
14,0,20,1,4
15,2,20,0,4
22,7,27,5,8
13,3,22,3,4
21,2,7,1,2
10,0,6,3,0
20,4,8,1,3
22,5,18,7,9
18,0,27,0,7
12,2,5,5,6
11,0,5,2,0
23,1,28,4,3
15,5,8,2,9
21,0,13,5,2
26,10,40,3,2
12,1,18,0,1
12,0,10,0,1
11,0,14,0,1
10,2,13,0,1
11,1,14,0,1
21,7,16,1,6
25,2,46,3,7
17,2,27,3,10
9,3,13,1,1
12,2,5,5,6
14,0,17,0,2
11,2,22,6,6
22,4,25,8,7
18,2,15,0,4
10,0,6,0,1
15,0,31,1,5
18,3,9,1,1
18,5,22,4,3
18,2,37,5,6
33,7,30,7,5
18,9,12,9,3
23,6,29,4,4
7,5,5,0,1
13,0,9,0,1
20,2,23,6,3
23,6,14,5,6
18,5,31,3,2
12,1,23,1,6
22,5,16,5,6
19,0,38,0,3
13,0,11,0,1
11,0,10,0,2
17,4,20,4,8
15,0,34,1,7
16,0,18,0,5
20,4,17,6,6
20,2,11,0,2
27,1,31,2,2
20,5,15,6,6
8,0,6,0,0
13,0,20,1,5
16,3,8,1,3
21,2,15,2,9
12,2,5,5,6
23,0,27,2,2
9,0,15,2,3
16,5,20,4,5
14,0,24,1,10
13,1,15,0,1
17,4,15,4,9
11,0,11,0,5
26,6,48,4,6
22,2,31,2,4
15,4,15,0,5
18,3,10,0,0
17,3,13,2,5
21,6,20,2,1
14,6,16,1,5
13,2,18,2,2
17,1,23,0,3
21,1,33,2,3
12,4,17,1,6
15,0,28,2,4
18,9,29,0,4
13,0,12,1,5
24,2,28,2,4
22,2,7,1,2
37,3,37,13,11
15,2,13,2,1
13,1,18,4,5
22,3,14,3,6
14,1,16,0,0
12,0,12,0,1
12,1,11,0,3
27,2,28,3,4
18,6,16,7,3
13,1,16,2,3
10,9,15,5,10
20,3,23,1,5
8,2,11,1,1
8,0,6,0,0
23,2,35,8,10
9,2,9,1,1
23,5,16,1,6
23,7,38,4,2
12,2,8,3,6
23,12,26,8,3
12,0,11,0,1
14,8,10,2,2
12,5,10,3,2
13,0,24,2,2
11,0,14,0,3
17,9,18,6,1
15,1,24,4,6
17,2,10,4,1
17,8,22,4,5
16,4,9,0,2
13,1,14,0,2
20,6,20,11,7
12,4,24,2,5
25,6,48,4,5
17,0,20,4,2
10,1,11,0,1
24,10,26,8,8
13,1,11,3,1
13,6,18,6,3
26,8,34,3,3
12,0,9,0,0
12,1,23,1,6
11,1,17,2,1
13,4,29,1,2
21,2,18,3,7
20,3,17,6,7
11,0,10,0,2
28,3,47,8,5
14,1,9,2,3
12,0,6,4,1
20,4,29,4,5
22,2,8,0,1
13,4,26,2,1
15,4,15,0,5
13,1,22,2,2
9,0,11,0,4
12,1,23,1,6
19,1,30,3,3
16,0,18,0,4
21,2,25,1,4
22,3,14,5,4
13,1,10,4,3
17,7,19,4,7
23,6,33,4,5
23,2,36,2,6
15,2,12,1,3
16,2,28,1,4
12,1,17,0,6
23,0,26,2,5
15,4,29,5,6
19,3,16,1,3
11,0,5,2,0
22,3,16,5,8
12,0,5,3,0
17,6,22,6,4
13,1,16,1,5
21,5,48,2,9
11,2,8,2,2
13,0,17,1,1
10,0,6,0,1
14,2,23,0,4
13,0,25,2,2
15,0,16,3,4
21,2,20,4,6
19,2,15,4,9
8,2,17,2,0
12,1,23,1,6
9,2,11,1,2
31,6,16,11,7
12,2,5,5,6
17,2,30,3,3
11,0,11,0,1
25,2,46,3,7
25,5,21,3,1
24,7,19,3,1
19,2,7,2,2
13,1,22,1,6
20,4,16,7,8
18,1,27,2,6
12,2,5,5,6
12,2,5,5,6
12,0,10,0,0
15,7,13,1,2
18,0,17,1,6
13,1,13,2,1
31,5,26,11,6
12,3,14,1,8
14,0,21,0,4
13,3,14,0,1
20,3,26,5,6
9,1,6,0,1
24,4,30,8,7
15,2,14,2,0
10,0,7,1,2
15,5,8,2,9
12,2,5,5,6
23,5,37,4,5
8,1,15,2,0
13,0,22,5,7
9,1,6,0,1
11,0,16,0,2
13,2,11,2,2
