0,1,2,3,4
16,5,17,6,10
18,2,24,2,5
12,0,19,1,3
8,0,22,4,2
17,1,21,5,5
13,1,24,3,9
7,0,7,0,0
16,3,8,2,3
8,1,6,0,2
14,3,18,2,2
13,1,24,3,9
15,2,15,4,7
18,3,21,2,9
12,3,12,4,1
23,4,25,5,8
14,1,36,1,6
18,4,41,5,4
15,5,14,2,0
11,1,29,2,3
10,2,11,1,4
7,3,9,1,1
10,2,32,2,3
18,2,53,10,4
21,1,20,9,4
14,1,42,5,4
7,3,9,3,2
9,1,8,3,2
19,0,16,10,2
11,1,20,0,2
19,3,31,5,2
16,3,7,2,3
15,2,31,5,7
8,3,14,2,1
12,3,27,2,1
11,1,27,0,5
18,3,23,2,9
24,3,53,4,10
14,4,31,0,5
9,4,7,5,5
10,2,19,0,6
15,2,26,9,4
17,2,17,14,5
9,5,14,1,1
9,4,11,3,2
16,2,16,3,5
22,4,35,6,6
11,0,23,3,2
14,3,20,0,4
21,3,31,6,8
15,1,20,6,3
16,3,8,1,5
7,1,10,1,0
16,2,11,4,3
16,7,24,9,5
15,0,32,0,5
9,4,7,5,5
9,1,7,0,1
21,3,31,1,3
14,7,4,1,13
15,2,17,6,1
32,6,35,4,4
8,1,21,2,0
7,3,9,2,2
7,3,12,1,3
9,2,12,1,2
8,5,11,2,1
19,5,14,3,10
22,4,46,4,7
13,3,34,3,6
9,3,12,2,1
9,4,7,5,5
13,1,18,0,1
9,2,26,5,5
22,3,19,15,7
14,4,16,3,2
7,2,7,0,1
13,1,33,1,4
16,3,10,1,2
16,5,27,2,2
17,1,37,5,8
27,7,37,6,5
14,5,15,13,4
21,5,31,5,4
8,3,4,1,2
8,3,8,2,2
16,3,29,3,3
20,1,17,12,4
11,4,39,4,1
11,1,26,1,4
16,3,17,8,10
13,1,43,0,3
10,3,9,2,1
9,0,13,0,1
15,2,24,5,7
8,2,39,2,6
11,1,24,0,3
19,3,17,10,4
17,1,14,2,1
22,5,31,1,4
19,1,17,11,4
6,1,7,0,0
11,1,19,1,7
15,1,9,0,6
17,1,14,6,11
9,4,7,5,5
18,4,26,2,4
8,2,15,1,3
13,5,27,2,3
9,3,24,2,11
10,0,16,1,3
17,2,15,8,7
9,1,13,0,4
18,6,51,10,5
17,3,34,4,3
13,4,15,3,4
15,2,13,0,1
11,4,15,5,5
18,4,21,2,5
13,5,17,3,4
10,3,16,5,3
14,0,25,1,4
15,2,41,0,2
10,2,16,4,8
13,0,28,2,6
15,2,36,1,6
11,3,15,0,2
20,3,31,2,4
19,3,7,0,5
30,8,41,15,7
12,4,14,2,1
9,2,24,2,4
16,1,15,8,8
12,1,18,0,0
10,3,10,1,1
9,1,14,0,3
24,2,32,3,3
14,6,22,7,1
10,1,18,1,5
11,1,17,12,8
18,5,22,1,6
7,3,10,2,1
6,1,7,0,0
19,7,37,9,6
6,2,10,2,2
19,5,14,3,10
22,4,41,4,3
9,2,13,2,5
16,5,29,15,7
10,0,13,0,1
10,5,11,4,6
9,6,13,4,0
11,0,26,1,3
9,3,12,1,3
16,3,23,7,2
13,1,24,3,9
15,2,11,3,3
17,5,21,7,6
14,3,10,0,4
11,1,14,0,4
16,2,26,14,6
11,2,28,1,5
17,6,51,10,4
15,1,25,1,1
6,4,11,1,1
18,3,30,15,10
9,5,11,3,1
13,3,16,11,3
23,5,38,4,4
11,1,8,0,1
11,1,26,1,4
10,5,12,4,1
12,2,28,2,5
17,2,18,4,10
18,2,18,9,6
11,0,11,0,1
25,2,53,8,3
10,3,7,4,5
10,3,6,2,2
17,5,33,2,5
17,3,8,1,4
13,1,26,3,3
11,4,15,5,4
11,1,23,1,4
8,1,11,0,4
11,1,26,1,4
18,2,31,2,3
11,1,24,0,2
19,1,27,3,3
21,0,17,8,2
9,1,15,3,3
14,4,19,8,9
22,5,35,5,4
21,5,37,1,5
12,2,17,1,1
13,1,32,2,3
8,1,22,0,5
19,4,24,4,5
12,4,33,5,5
12,6,17,3,4
8,1,8,0,1
18,3,17,6,10
10,3,6,1,0
18,1,24,6,6
12,3,17,0,4
17,5,52,1,10
10,1,9,2,3
8,7,14,1,2
8,1,7,0,1
12,3,25,0,3
11,0,27,1,3
12,1,21,2,2
16,3,21,4,9
17,1,14,6,11
7,0,18,1,3
10,2,26,1,4
6,1,16,0,2
32,1,19,12,7
9,4,7,5,5
12,3,33,2,5
7,1,13,0,2
22,4,46,4,7
25,3,23,3,1
22,6,21,4,1
17,2,10,1,2
11,1,26,1,4
19,2,17,11,6
15,0,33,1,5
9,4,7,5,5
9,4,7,5,5
10,1,10,0,1
10,9,14,3,2
13,0,26,0,3
9,2,19,0,0
21,7,31,14,6
12,2,17,2,5
9,2,26,0,2
10,5,14,1,1
14,2,32,6,6
7,3,5,1,1
16,5,36,10,6
15,1,7,9,1
5,4,7,2,2
14,9,4,1,11
9,4,7,5,5
19,2,42,6,5
6,1,16,1,2
10,0,25,4,8
7,3,5,1,1
9,1,16,0,3
11,4,13,1,1
