0,1,2,3,4
14,5,17,3,15
15,3,25,1,7
9,0,15,2,9
6,0,20,3,7
10,6,19,2,12
10,3,27,1,9
4,0,5,0,5
10,2,6,1,13
5,2,5,0,5
7,1,21,0,10
10,3,27,1,9
8,11,12,1,11
14,3,22,1,13
5,2,16,0,9
23,5,27,1,9
14,3,32,1,8
15,2,34,5,16
9,2,16,1,8
13,1,21,2,9
9,0,9,5,5
3,1,10,0,7
10,2,23,4,10
18,7,48,3,11
16,6,16,5,12
18,2,35,3,8
6,0,8,1,9
8,0,6,3,6
13,5,15,4,10
10,0,15,0,9
14,0,24,9,13
11,1,5,1,13
15,3,26,4,12
3,1,13,0,11
14,0,19,1,11
12,1,20,2,9
15,3,22,1,14
27,3,41,3,20
15,2,28,0,9
7,2,7,3,11
10,3,17,0,7
11,2,20,12,11
13,5,14,10,13
6,1,12,0,11
7,2,10,2,8
9,0,22,0,11
22,1,35,4,11
10,1,16,2,10
12,0,19,1,9
17,3,26,5,18
9,5,19,3,9
10,1,6,1,15
7,0,5,3,4
11,2,7,0,16
20,7,19,6,9
13,0,28,2,9
7,2,7,3,11
7,0,5,2,4
17,0,30,3,9
10,7,5,0,17
15,0,13,4,9
29,5,29,4,14
8,0,17,0,7
8,0,6,1,8
6,0,12,0,8
9,2,9,0,6
8,0,12,0,7
13,3,20,1,14
16,3,43,2,19
13,4,25,2,15
5,3,11,0,8
7,2,7,3,11
12,1,13,0,7
8,1,18,8,12
18,9,21,6,12
15,4,12,0,8
5,0,5,0,7
11,1,22,7,11
9,2,7,0,14
16,1,21,6,8
10,0,38,5,15
26,3,33,5,15
15,6,13,5,12
17,3,27,7,12
4,2,5,0,7
7,0,6,1,9
17,2,18,8,9
14,6,17,5,12
10,3,37,1,8
10,1,20,2,10
14,5,17,3,15
11,1,38,1,9
9,0,9,0,7
7,0,10,0,6
12,4,23,2,12
13,2,28,4,10
11,1,18,0,9
14,6,16,5,12
15,0,10,2,8
23,2,23,2,13
14,5,16,5,12
4,0,5,0,5
12,0,18,1,8
9,2,5,0,15
15,2,19,0,13
7,2,7,3,11
18,1,20,2,13
6,0,13,1,9
13,2,20,7,8
7,2,20,2,18
9,2,11,0,8
15,6,14,4,10
5,2,11,1,8
20,2,46,2,20
14,4,33,1,9
11,6,15,0,7
13,1,10,0,7
15,3,13,2,7
21,3,19,0,7
9,5,17,0,11
10,1,11,3,12
12,1,19,3,9
17,1,30,1,11
5,5,13,4,13
11,1,25,0,12
16,1,30,0,13
8,2,13,0,8
17,2,26,1,14
12,1,4,0,17
28,1,33,19,20
13,0,10,0,10
12,1,14,4,10
15,5,15,3,10
8,1,14,2,6
8,0,9,0,8
6,0,12,0,9
25,4,23,0,12
17,2,16,6,9
10,0,17,0,8
5,8,10,4,22
14,1,21,1,15
3,1,11,1,7
4,0,5,0,5
22,7,30,8,11
4,0,7,2,9
13,3,18,1,16
11,1,43,4,15
6,0,9,3,13
18,10,26,5,13
10,0,9,0,5
9,8,10,3,6
9,1,9,3,10
8,1,22,0,10
7,0,13,0,8
10,0,26,5,10
10,3,27,1,9
10,1,8,4,11
19,3,27,0,7
10,1,5,0,15
10,2,14,0,4
16,8,19,5,16
9,4,24,2,8
21,4,43,2,18
13,0,17,2,11
3,1,11,0,8
18,12,24,6,16
7,1,10,2,9
10,5,17,2,12
17,0,34,6,17
5,0,11,0,5
10,1,20,2,10
6,0,16,0,10
9,3,25,1,11
17,3,21,1,9
13,7,13,8,12
7,0,13,0,3
19,1,47,8,16
8,2,6,1,12
9,0,6,4,4
19,2,25,7,9
12,1,5,0,15
8,2,28,2,6
9,6,15,0,9
10,1,18,2,9
4,0,12,0,8
10,1,20,2,10
16,1,26,2,11
13,1,16,0,8
17,1,19,6,10
13,5,15,4,11
9,0,14,1,7
10,10,18,3,13
17,4,31,7,12
18,2,33,3,13
11,0,12,2,8
12,3,22,4,10
8,0,16,1,11
11,2,27,4,12
9,2,23,10,15
12,6,17,1,6
7,0,5,2,4
14,5,17,3,15
10,0,5,2,3
10,5,23,4,13
10,3,16,2,5
22,5,45,2,11
7,2,10,0,6
6,1,15,0,10
7,0,5,0,5
13,1,23,0,6
8,0,24,0,10
12,0,16,0,10
14,3,22,1,13
15,2,19,0,13
6,1,14,1,7
10,1,20,2,10
5,0,14,2,4
23,9,13,7,19
7,2,7,3,11
15,3,23,1,13
5,0,13,2,3
16,3,43,2,19
22,2,23,1,7
27,2,19,0,6
11,1,6,1,13
10,1,20,2,10
14,4,13,11,13
11,1,25,5,12
7,2,7,3,11
7,2,7,3,11
5,0,11,0,6
7,9,14,1,7
13,1,19,1,8
9,0,14,2,5
18,3,29,12,17
8,4,14,1,11
11,1,19,1,7
6,2,13,0,10
15,2,24,7,12
5,0,5,0,7
17,2,30,10,14
14,1,4,3,11
2,1,7,1,9
10,7,5,0,17
7,2,7,3,11
11,1,42,4,16
5,0,12,1,8
9,0,20,4,14
5,0,5,0,7
8,0,13,0,8
10,1,12,2,5
