0,1,2,3,4
12,2,20,7,13
6,6,28,3,8
4,3,20,1,7
3,1,21,2,9
5,3,23,9,9
6,1,30,1,12
3,0,7,0,4
5,0,11,3,13
3,0,6,0,8
8,3,20,1,7
6,1,30,1,12
7,5,15,6,10
10,3,26,2,12
9,2,13,3,5
8,8,31,4,14
3,1,45,1,8
9,1,49,3,10
6,3,18,3,6
6,1,25,4,10
3,2,11,1,11
5,1,9,0,6
7,2,30,3,7
8,3,58,7,11
5,7,21,8,14
5,0,43,7,11
6,1,9,1,7
3,2,7,4,7
5,4,19,7,12
4,0,21,0,9
6,6,31,8,9
6,1,8,2,14
5,3,30,8,14
4,1,16,1,6
6,1,26,2,10
5,0,29,1,9
11,3,28,2,11
13,5,56,7,13
7,6,32,0,9
3,3,8,5,11
4,0,21,2,10
7,1,23,15,10
5,4,21,13,12
4,2,14,2,8
4,4,12,1,8
9,3,19,2,9
10,3,45,6,9
6,1,23,2,7
12,1,20,3,5
11,6,29,5,18
7,2,23,4,9
5,0,10,2,16
1,1,8,2,7
6,0,11,5,14
6,3,29,14,9
6,2,34,0,10
3,3,8,5,11
2,1,6,2,7
9,2,38,3,7
3,5,9,2,20
5,0,17,5,14
21,5,37,5,13
4,1,22,1,4
6,2,9,0,6
6,1,13,0,6
6,1,12,0,7
5,3,12,1,6
8,4,23,3,13
4,3,55,6,15
5,1,34,5,14
5,3,12,0,7
3,3,8,5,11
3,1,20,0,9
4,2,20,5,16
17,3,18,15,13
4,1,19,6,9
4,0,8,0,5
5,2,34,0,11
5,0,11,1,15
7,0,28,5,12
6,2,41,3,16
17,8,36,5,16
8,6,17,10,10
10,1,36,6,13
4,1,6,0,7
6,2,9,0,6
7,3,25,7,12
4,5,22,9,14
8,1,41,3,6
5,0,28,0,10
12,2,20,7,13
4,2,43,0,11
7,1,10,1,6
3,1,12,0,7
10,2,23,4,14
4,2,40,2,9
3,2,26,0,8
7,5,20,9,12
7,1,18,2,7
10,0,33,6,14
7,5,20,8,12
2,0,7,0,5
5,1,21,2,10
5,0,11,2,13
12,2,21,4,10
3,3,8,5,11
6,1,28,2,17
2,3,15,1,8
7,1,28,5,9
5,3,26,2,13
4,0,17,0,9
13,4,15,5,12
3,2,15,0,7
10,4,54,5,17
9,1,35,2,14
3,2,17,8,9
8,0,11,0,12
3,1,20,7,9
11,5,24,0,10
2,2,19,8,11
9,1,17,2,8
5,1,29,2,7
11,1,42,1,5
2,1,18,5,14
6,2,31,0,10
12,4,28,2,14
7,0,15,0,9
8,4,30,5,13
5,0,9,1,19
11,7,48,15,20
9,2,13,2,7
4,2,24,4,7
12,3,16,8,9
7,1,15,1,7
7,1,11,1,5
3,1,15,0,8
7,2,35,3,17
7,3,22,11,7
5,0,21,1,8
3,3,12,12,19
9,3,25,1,14
4,1,10,2,6
3,0,7,0,4
8,2,41,14,13
3,1,8,3,7
8,4,23,3,13
12,1,47,4,10
3,1,12,4,11
6,4,34,11,17
4,0,14,1,5
4,3,16,6,7
4,0,12,3,13
6,1,24,1,9
7,2,12,0,7
9,3,26,4,9
6,1,30,3,10
4,1,13,3,13
8,4,27,3,14
5,0,13,1,12
4,0,17,2,7
4,8,29,9,14
5,0,29,2,11
9,4,52,5,18
6,1,26,2,8
5,2,11,0,5
7,3,33,12,21
4,5,12,1,7
5,3,21,6,11
10,2,39,5,18
4,0,10,1,6
5,0,28,0,10
9,2,13,2,6
6,0,31,2,10
12,3,22,3,11
3,5,21,8,16
5,1,13,0,4
7,1,58,13,12
4,1,7,2,15
1,2,7,4,9
10,1,34,5,12
6,0,9,2,16
7,2,25,2,10
2,2,17,6,12
5,0,25,0,10
6,0,8,0,10
4,1,28,0,10
7,1,29,5,14
3,2,26,0,7
9,2,26,6,10
5,4,19,7,13
3,2,15,3,8
8,3,23,6,14
10,1,41,7,12
9,4,41,6,9
6,2,17,2,6
7,2,30,4,8
5,2,19,2,8
12,5,25,4,10
4,1,30,10,14
4,1,22,8,7
2,1,6,2,7
12,2,20,7,13
2,1,6,2,9
5,2,23,8,17
5,3,20,0,8
9,2,55,8,11
4,1,9,3,8
5,4,14,1,8
4,0,8,0,5
4,2,27,0,10
6,1,25,1,9
5,1,20,5,7
10,3,26,4,10
12,2,21,4,10
3,1,16,2,7
4,0,28,0,11
2,3,14,1,5
6,4,24,14,23
3,3,8,5,11
5,7,32,2,9
2,2,15,0,4
4,3,55,6,15
19,3,25,2,6
18,3,20,2,11
6,0,12,1,13
5,0,28,0,10
4,5,19,12,15
6,1,31,4,12
3,3,8,5,11
3,3,8,5,11
3,0,11,1,7
4,2,13,5,14
6,0,28,0,8
4,1,20,0,5
9,5,34,17,14
6,4,19,1,8
4,2,25,0,8
5,2,13,3,8
8,4,33,4,11
6,1,4,0,6
6,4,37,13,13
5,0,8,7,13
4,1,7,1,7
3,5,9,2,20
3,3,8,5,11
8,3,46,6,11
2,0,15,1,8
4,2,23,6,12
6,1,4,0,6
4,1,17,0,7
5,3,11,4,7
