0,1,2,3,4
22,2,18,1,11
15,4,22,0,10
12,1,17,1,4
10,1,17,1,7
18,5,19,0,7
13,2,26,1,8
6,0,6,0,2
15,0,7,2,8
6,1,5,0,5
15,0,18,0,6
13,2,26,1,8
12,10,10,0,11
23,1,21,0,8
7,1,17,1,6
23,5,23,0,14
17,4,32,0,5
20,5,34,3,10
14,2,17,0,3
13,1,21,1,10
12,1,8,3,4
5,0,10,0,6
17,4,21,3,4
27,3,47,1,9
20,5,15,6,9
25,3,30,2,6
8,0,8,1,7
11,0,4,4,4
22,3,13,2,7
14,1,13,0,6
24,0,22,6,8
18,0,7,0,6
23,3,20,4,10
9,0,13,0,6
18,1,17,1,8
15,1,19,2,7
25,1,21,0,8
33,2,40,4,15
15,5,28,0,6
10,2,8,2,8
12,5,16,0,4
15,7,20,7,7
17,6,13,6,13
12,0,9,0,9
9,1,12,0,7
16,2,18,0,6
27,0,32,5,9
12,3,17,1,6
13,5,17,0,6
24,3,26,4,12
14,4,18,1,8
17,2,5,0,9
11,0,3,2,3
16,0,9,3,8
26,8,20,3,4
18,1,27,1,5
10,2,8,2,8
10,0,3,2,3
23,0,29,2,5
15,7,5,0,12
23,0,12,1,5
35,3,32,2,9
11,1,17,0,3
9,0,5,1,8
7,0,10,0,9
8,1,11,0,6
14,0,8,0,5
20,1,20,0,10
23,6,39,1,14
16,4,26,2,11
9,2,11,0,5
10,2,8,2,8
14,0,14,1,4
10,2,20,6,9
20,15,17,4,10
16,1,15,3,4
7,0,6,0,4
17,1,21,6,7
15,0,6,2,9
24,3,19,2,4
16,2,31,3,16
31,3,30,5,13
19,5,13,3,11
21,2,27,5,11
6,1,5,0,6
10,0,5,1,7
23,1,18,6,6
23,5,14,3,9
17,1,34,1,6
16,2,20,1,4
22,2,18,1,11
17,2,35,0,6
10,0,9,0,6
10,1,10,0,2
17,4,20,3,9
18,5,25,3,6
16,2,16,0,5
20,5,14,6,8
19,2,9,1,4
27,1,28,3,4
20,4,14,6,8
6,0,6,0,2
12,3,17,2,5
14,0,8,1,8
18,1,19,1,10
10,2,8,2,8
23,0,24,2,5
7,1,14,2,5
19,3,22,2,4
14,1,18,0,16
13,0,12,0,5
19,4,14,3,9
9,3,12,0,3
23,2,46,3,16
21,1,27,3,9
16,6,10,2,5
12,1,10,0,8
16,2,13,4,5
25,2,20,0,3
17,3,11,2,9
13,0,14,1,9
18,0,22,0,4
22,0,30,1,7
11,4,11,4,10
20,1,23,0,5
17,3,30,1,9
11,1,14,1,4
22,0,28,1,9
19,2,5,0,8
48,2,24,12,15
12,0,11,0,10
13,2,16,2,8
18,5,13,1,11
12,1,13,0,5
10,0,10,0,5
8,1,14,0,4
29,2,23,2,8
23,3,12,6,6
9,1,16,1,8
9,6,9,6,19
16,2,23,1,10
7,0,9,1,6
6,0,6,0,2
28,6,32,5,7
6,1,7,1,7
20,1,20,0,10
16,0,42,2,14
12,1,9,2,7
23,11,21,3,14
11,0,10,0,3
14,6,10,2,4
16,3,8,0,5
14,0,23,0,4
9,1,11,0,7
16,0,21,3,11
13,2,26,1,8
17,1,9,0,7
25,4,22,1,4
15,1,8,1,6
11,2,14,0,3
19,8,20,4,13
13,1,26,3,4
23,1,46,3,15
18,0,12,3,10
6,0,11,0,6
22,12,22,3,17
9,1,12,0,7
12,7,16,2,9
21,2,33,3,15
7,1,11,0,2
16,2,20,1,4
7,0,17,1,7
15,3,21,1,9
22,2,20,0,7
16,8,15,2,12
9,1,11,0,2
26,1,43,6,15
13,2,3,1,10
11,0,4,4,4
28,3,25,2,4
19,2,5,0,7
12,1,26,2,5
18,4,10,2,5
15,1,19,0,5
6,2,12,0,4
16,2,20,1,4
20,1,25,3,7
16,2,16,0,4
22,1,20,5,5
20,3,13,5,7
14,1,9,2,5
18,7,16,2,11
24,2,30,5,10
24,1,32,1,11
17,0,10,0,6
18,4,21,5,3
11,0,16,0,9
17,1,26,3,9
18,9,18,5,9
13,7,17,1,4
10,0,3,2,3
22,2,18,1,11
12,0,3,2,3
15,4,19,4,13
15,1,15,1,4
30,4,36,6,9
8,1,10,1,5
8,0,17,0,7
8,0,6,0,3
16,2,22,0,3
14,0,24,0,4
17,1,14,0,6
23,1,21,0,8
18,1,19,1,10
8,0,16,1,4
16,2,20,1,4
9,1,10,3,2
40,1,14,3,13
10,2,8,2,8
15,3,22,1,14
9,1,10,1,2
23,6,39,1,14
25,4,21,1,4
30,1,20,0,3
17,0,7,1,7
16,2,20,1,4
18,6,12,7,12
18,1,24,1,10
10,2,8,2,8
10,2,8,2,8
7,1,12,0,2
12,8,14,0,4
19,2,15,2,4
14,0,11,2,3
31,6,25,7,10
14,0,14,1,9
11,1,23,0,4
12,0,11,1,7
25,2,21,5,7
7,0,5,0,5
22,4,28,7,12
16,3,2,3,9
5,2,7,0,6
15,7,5,0,12
10,2,8,2,8
24,2,35,3,10
7,0,14,2,3
11,3,15,4,14
7,0,5,0,5
10,1,15,0,3
10,2,10,2,6
