0,1,2,3,4
33,5,11,0,5
17,3,21,0,10
17,1,11,2,4
17,0,12,1,6
22,3,18,1,5
17,4,22,1,6
10,1,0,0,3
19,1,4,2,6
10,1,3,0,3
17,0,18,0,4
17,4,22,1,6
19,6,9,4,5
34,2,12,0,5
10,1,16,1,4
25,5,22,0,13
29,3,22,0,4
24,3,33,3,9
18,1,15,0,2
18,1,17,3,7
15,1,5,1,6
8,0,9,0,4
20,1,22,3,3
32,4,40,0,11
25,6,14,2,8
33,2,23,3,5
10,0,7,2,5
14,0,2,5,2
23,5,10,1,8
16,0,15,0,3
36,0,18,2,4
20,1,4,0,6
26,2,20,3,9
15,0,7,0,6
23,0,16,0,6
22,1,17,1,3
35,2,14,0,4
48,2,32,0,12
23,1,25,0,5
15,1,7,2,5
17,1,15,1,3
18,9,19,6,4
25,5,10,4,11
14,0,11,0,5
13,0,12,0,4
17,3,18,0,4
36,1,27,0,9
18,1,17,0,3
22,2,12,0,5
31,3,27,0,8
20,4,15,0,6
20,0,4,1,8
12,0,3,3,1
23,0,5,2,6
31,5,15,5,5
22,0,27,0,3
15,1,7,2,5
11,0,2,3,2
29,0,25,2,3
20,7,5,0,7
24,0,10,0,7
45,1,28,1,6
12,1,16,0,3
12,0,6,0,5
8,1,12,0,5
11,0,11,1,3
17,0,7,0,3
27,2,15,0,7
36,3,32,0,12
22,5,20,3,9
11,0,11,1,4
15,1,7,2,5
17,0,13,0,3
16,2,14,5,10
33,7,20,1,5
23,2,12,1,1
12,0,4,0,1
21,0,19,4,8
21,0,5,1,5
29,1,15,4,3
25,2,27,4,10
40,3,23,4,12
24,7,10,1,9
27,2,24,2,11
8,0,6,1,3
12,0,6,0,5
30,1,13,4,6
31,4,9,1,9
25,0,28,1,5
21,0,18,0,4
33,3,11,0,7
22,2,34,0,2
12,0,10,0,3
13,1,8,0,1
26,2,16,2,7
25,2,24,2,4
22,0,12,0,5
26,4,10,4,9
23,1,9,0,2
39,0,17,4,3
27,6,9,1,9
10,0,1,0,3
16,2,17,0,4
17,0,5,1,8
28,2,13,1,5
15,1,7,2,5
34,0,17,0,3
10,0,12,1,6
24,1,19,3,3
22,1,12,0,14
18,0,10,0,2
25,5,10,1,8
14,1,10,0,2
31,2,41,2,14
28,1,22,6,4
20,5,9,1,4
15,0,11,0,5
21,3,13,1,2
21,3,24,0,2
22,5,10,1,4
15,0,12,1,9
22,0,19,1,2
27,1,27,0,5
14,4,11,2,9
24,1,18,1,5
27,2,23,1,7
16,0,11,0,4
30,2,21,1,6
22,0,4,0,8
67,2,20,4,8
16,0,10,0,7
18,2,12,1,8
21,5,9,1,12
13,1,11,2,4
12,0,10,0,3
14,2,10,0,1
39,3,18,0,4
30,0,13,5,2
14,1,13,2,5
14,6,8,4,17
25,2,19,2,4
8,0,11,1,3
10,1,0,0,3
34,3,25,6,10
11,0,4,1,6
27,2,15,0,7
27,1,40,0,6
18,2,7,2,2
30,9,18,4,11
13,0,10,0,1
16,7,9,1,3
20,3,6,0,3
18,1,21,0,1
12,0,12,0,4
18,0,25,2,6
17,4,22,1,6
20,2,3,1,8
30,3,18,0,5
17,0,6,0,8
16,0,11,1,2
24,7,18,4,11
20,0,21,1,5
31,1,40,2,14
22,0,12,1,8
9,1,10,0,3
29,11,18,4,14
13,0,12,0,4
18,7,13,2,6
29,1,28,2,14
10,1,9,0,1
21,0,18,0,4
11,0,15,1,5
19,2,18,1,9
27,3,16,0,5
25,4,8,2,14
11,0,10,0,2
31,1,40,5,14
14,1,5,1,8
13,2,2,5,1
33,2,19,4,4
21,0,5,0,7
20,1,22,0,3
18,7,9,1,4
18,0,18,1,3
8,1,11,0,4
21,0,18,0,4
28,2,20,1,5
22,0,12,0,4
29,1,18,3,2
24,2,10,4,8
15,0,10,1,5
23,7,13,1,10
29,4,25,2,11
34,3,23,2,7
21,0,9,0,3
23,1,20,3,4
14,0,15,0,7
27,3,20,0,6
19,6,20,1,13
19,6,13,0,4
11,0,2,3,2
33,5,11,0,5
14,0,2,3,1
20,5,16,4,10
20,2,13,0,1
40,2,34,4,5
13,1,6,1,4
14,0,15,0,3
12,0,4,0,1
18,3,19,0,3
18,1,22,0,1
21,2,10,0,5
34,2,12,0,5
26,2,13,1,7
13,1,13,1,1
21,0,18,0,4
12,0,7,2,4
39,4,11,3,14
15,1,7,2,5
21,2,26,1,5
10,0,10,1,2
36,3,32,0,12
25,0,26,0,4
32,1,19,0,2
22,0,4,0,6
21,0,18,0,4
23,5,9,4,14
23,0,23,2,6
15,1,7,2,5
15,1,7,2,5
10,1,10,0,1
18,5,13,0,2
25,1,12,0,4
18,0,9,1,2
43,2,20,6,8
19,1,13,0,5
16,0,20,0,3
15,0,8,1,7
36,1,15,3,5
8,0,5,0,4
37,2,19,6,9
18,3,2,2,8
8,1,6,1,4
20,5,5,0,9
15,1,7,2,5
34,0,31,2,7
10,0,12,1,3
18,2,16,3,8
8,0,5,0,4
14,1,12,0,2
15,2,6,3,4
